Mural Registration ID,Image Link,Image
19403,"https://img1.wsimg.com/isteam/ip/ec629492-fcc4-48c9-9895-276835c52a56/FINAL.JPG/:/cr=t:5.54%25,l:0%25,w:88.92%25,h:88.92%25/rs=w:640,cg:true,m",Picture
19312,,#VALUE!
19394,https://cst.brightspotcdn.com/dims4/default/e7abd64/2147483647/strip/true/crop/1782x1120+0+0/resize/1680x1056!/format/webp/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2FoVbAzLedhlbxx_Qz5EwjrM_eaXc%3D%2F0x0%3A1782x1120%2F1782x1120%2Ffilters%3Afocal%28891x560%3A892x561%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F24206848%2FScreen_Shot_2022_11_17_at_2.22.17_PM.png,Picture
19051,,#VALUE!
19150,https://masa.imgix.net/https%3A%2F%2Fmasa-street-art.s3.us-east-2.amazonaws.com%2Fig%2FBpnJIKDBsPC.jpg?auto=format&ar=1:1&fit=fill&w=800&h=800&fill=blur&s=1c9e7707f5d3a8a3a61b26a64377d037,Picture
19077,,#VALUE!
19204,https://media.gettyimages.com/id/1144461913/photo/chicago-cityscapes-and-city-views.jpg?s=594x594&w=gi&k=20&c=het06YQCdfbL4gRVGpEUGhDn8ADRX97IcNClBe_0VAg=,Picture
19159,https://whimsysoul.com/wp-content/uploads/2021/07/Whimsy-Soul-Chicago-Murals-You-are-beautiful-122.jpg,Picture
19400,https://images.squarespace-cdn.com/content/v1/5e87658adfbb5a514c43d021/76d8c03a-e9c0-4e2e-9985-32eb64fba2ca/Flowers-1.jpg?format=1000w,Picture
19060,,#VALUE!
19071,https://assets.chicagoparkdistrict.com/s3fs-public/styles/558x314/public/images/locations/Cover_Barrett_Libertad.JPG?itok=AVrB8gzM,#CONNECT!
19398,https://live.staticflickr.com/65535/51159577941_58b2585d68_c.jpg,Picture
19407,https://cydsmillie.com/wp-content/uploads/2022/11/IMG_5730-scaled.jpeg,Picture
19283,https://images.squarespace-cdn.com/content/v1/58611ff99f7456471a518599/1674870382293-RWIQGPJNL1LM5GXXXWCH/C318D3F1-78F5-4A53-81E5-844E9CDF706A.jpeg?format=1500w,Picture
19146,,#VALUE!
19420,,#VALUE!
19190,,#VALUE!
19152,,#VALUE!
19086,,#VALUE!
19092,,#VALUE!
19122,"https://static.wixstatic.com/media/23bea2_7a0f379e59b84242984beb77ec87b694~mv2_d_4000_3000_s_4_2.jpg/v1/fill/w_978,h_1280,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/23bea2_7a0f379e59b84242984beb77ec87b694~mv2_d_4000_3000_s_4_2.jpg",Picture
19149,https://cydsmillie.com/wp-content/uploads/2017/07/ReThinking-figure-768x1024.jpg,Picture
19292,,#VALUE!
19291,,#VALUE!
19429,https://img-cache.oppcdn.com/img/v1.0/s:38127/t:QkxBTksrVEVYVCtIRVJF/p:12/g:tl/o:2.5/a:50/q:90/1640x830-YwJzp45jd3aH0fcM.jpg/1106x830/3bdb02909fcc072eb1f14a38ed7819aa.jpg,Picture
19155,,#VALUE!
19154,,#VALUE!
19191,,#VALUE!
19427,https://rpba.org/wp-content/uploads/2017/01/MM_WindSunShine-2-1080x720.jpeg,Picture
19058,,#VALUE!
19199,,#VALUE!
19116,https://www.stevencarrelli.com/r/armitagemural1.jpg,Picture
19408,https://lakevieweast.com/wp-content/uploads/DSC04513-1024x683.jpg,Picture
19399,https://images.squarespace-cdn.com/content/v1/5e87658adfbb5a514c43d021/959ed3eb-3af2-4522-a47d-943e567a876a/59F7D93B-281D-442D-908E-10C99E23C44B.jpeg?format=1500w,Picture
19222,https://images.squarespace-cdn.com/content/v1/554e5f9fe4b09b59545088a1/1573248985896-SNOQW06UJKAY9QAOQ0E1/MollyZ_Green2.jpg?format=1500w,Picture
19431,https://img-cache.oppcdn.com/fixed/38127/assets/wasgMVeYULYys10q.jpg,Picture
